estados,Precio,land_area,build_area,bedrooms,bathrooms,half_bathrooms,garages,Publicacion,Pisos
AGUASCALIENTES,1400000,144,200,4,2,1,1,4,2
AGUASCALIENTES,995000,135,120,3,1,1,2,0,2
AGUASCALIENTES,1100000,110,220,4,1,1,0,4,2
AGUASCALIENTES,4500000,350,450,3,2,1,2,28,2
AGUASCALIENTES,1250000,105,160,3,2,0,0,4,1
AGUASCALIENTES,10000000,1650,720,4,3,1,0,6,2
AGUASCALIENTES,1660000,140,250,4,2,1,0,0,2
AGUASCALIENTES,14990000,1000,875,5,7,2,6,6,2
AGUASCALIENTES,1800000,146,142,3,2,0,0,56,1
AGUASCALIENTES,450000,90,85,3,1,0,0,6,1
AGUASCALIENTES,712000,105,143,3,2,0,2,19,1
AGUASCALIENTES,620000,90,70,3,1,0,1,19,1
AGUASCALIENTES,3200000,375,500,5,3,1,5,4,1
AGUASCALIENTES,8990000,1250,514,4,5,1,5,16,2
AGUASCALIENTES,2290000,250,260,3,4,1,0,4,2
AGUASCALIENTES,400000,120,100,4,2,0,0,9,1
AGUASCALIENTES,2900000,300,350,4,2,1,0,6,2
AGUASCALIENTES,1780000,350,120,3,3,0,4,55,1
AGUASCALIENTES,1990000,210,223,3,2,1,0,6,2
AGUASCALIENTES,480000,90,75,2,1,0,1,20,1
AGUASCALIENTES,1633460,189,334,3,3,0,1,54,1
AGUASCALIENTES,450000,90,77,2,1,0,1,36,1
AGUASCALIENTES,540000,90,140,3,1,0,1,19,1
AGUASCALIENTES,750000,90,180,4,2,0,3,13,1
AGUASCALIENTES,975000,133,96,3,2,0,2,37,1
AGUASCALIENTES,830000,89,110,4,1,0,1,4,1
AGUASCALIENTES,4500000,600,399,4,5,1,4,4,1
AGUASCALIENTES,1027026,140,210,3,3,0,1,54,1
AGUASCALIENTES,615000,90,65,3,2,0,0,4,2
AGUASCALIENTES,760000,230,260,5,1,0,0,4,1
AGUASCALIENTES,3259000,999,672,4,2,0,6,19,1
AGUASCALIENTES,2500000,300,350,3,2,1,3,4,2
AGUASCALIENTES,8500000,900,700,3,4,3,4,2,1
AGUASCALIENTES,1300000,125,200,3,2,0,3,55,1
AGUASCALIENTES,887000,109,100,5,2,0,1,4,2
AGUASCALIENTES,2300000,308,280,5,3,1,2,4,2
AGUASCALIENTES,970000,119,103,3,2,0,2,4,1
AGUASCALIENTES,4895000,600,720,4,4,0,4,19,1
AGUASCALIENTES,450000,90,75,2,1,1,2,5,1
AGUASCALIENTES,2250000,214,360,3,2,0,2,19,1
AGUASCALIENTES,480000,90,75,2,1,0,1,5,1
AGUASCALIENTES,2200000,240,319,5,2,0,0,0,3
AGUASCALIENTES,3999999,2039,1052,7,4,0,4,19,1
AGUASCALIENTES,2100000,162,192,3,2,1,2,6,1
AGUASCALIENTES,1800000,156,266,5,2,1,0,5,2
AGUASCALIENTES,650000,90,140,3,2,0,1,55,1
AGUASCALIENTES,845000,108,72,2,3,1,2,2,1
AGUASCALIENTES,500000,90,79,3,1,1,2,41,1
AGUASCALIENTES,515000,90,82,2,1,0,1,57,1
AGUASCALIENTES,1540000,112,183,3,2,0,2,19,1
AGUASCALIENTES,2900000,224,416,3,3,0,0,6,2
AGUASCALIENTES,600000,67,95,2,2,0,1,55,1
AGUASCALIENTES,849000,144,251,6,2,0,1,4,2
AGUASCALIENTES,1100000,207,180,3,1,0,2,19,1
AGUASCALIENTES,2400000,289,307,5,3,0,1,3,2
AGUASCALIENTES,840000,169,123,3,1,0,2,37,1
AGUASCALIENTES,4800000,880,960,5,4,1,4,2,1
AGUASCALIENTES,645000,49,90,2,2,0,0,5,1
AGUASCALIENTES,12000000,3090,434,4,4,0,3,55,1
AGUASCALIENTES,8500000,900,700,3,4,3,4,4,1
AGUASCALIENTES,2250000,190,217,3,3,0,2,19,1
AGUASCALIENTES,1450000,234,180,4,2,0,2,6,2
AGUASCALIENTES,5149000,1500,620,4,5,0,5,19,1
AGUASCALIENTES,450000,90,54,3,1,0,0,6,1
AGUASCALIENTES,14000000,2553,650,4,4,1,6,0,2
AGUASCALIENTES,630000,90,180,5,2,0,0,4,2
AGUASCALIENTES,2240000,245,165,3,2,1,2,7,2
AGUASCALIENTES,2900000,1587,565,3,3,0,8,19,1
AGUASCALIENTES,600000,104,180,3,2,0,0,4,1
AGUASCALIENTES,1050000,96,98,3,2,0,2,4,1
AGUASCALIENTES,1450000,187,177,5,2,0,1,55,1
AGUASCALIENTES,3250000,300,240,1,2,2,2,4,2
AGUASCALIENTES,630000,93,153,3,2,0,0,4,1
AGUASCALIENTES,3550000,200,250,1,3,0,2,10,2
AGUASCALIENTES,7500000,950,650,6,3,1,5,33,2
AGUASCALIENTES,1450000,370,350,3,2,0,0,0,1
AGUASCALIENTES,4200000,300,587,4,5,0,4,9,1
AGUASCALIENTES,1500000,250,190,3,2,1,2,28,1
AGUASCALIENTES,537000,68,55,2,1,1,0,18,1
AGUASCALIENTES,2200000,400,400,1,2,1,0,52,1
AGUASCALIENTES,511642,90,58,3,1,0,0,5,1
AGUASCALIENTES,375000,90,65,2,1,0,1,38,1
AGUASCALIENTES,2500000,160,293,4,3,0,1,19,1
AGUASCALIENTES,2995000,412,330,3,4,2,3,35,2
AGUASCALIENTES,3800000,250,450,3,2,1,3,2,2
AGUASCALIENTES,1680000,160,180,3,2,1,2,11,2
AGUASCALIENTES,2500000,300,350,4,2,1,4,35,2
AGUASCALIENTES,10000000,900,600,3,4,1,5,12,2
AGUASCALIENTES,1200000,139,150,3,2,1,2,0,2
AGUASCALIENTES,416000,90,56,2,1,0,1,18,1
AGUASCALIENTES,1490000,112,159,3,2,0,2,19,1
AGUASCALIENTES,5400000,710,430,5,3,1,0,0,2
AGUASCALIENTES,14500000,2253,651,3,4,3,10,3,2
AGUASCALIENTES,1490000,112,159,3,2,0,2,19,1
AGUASCALIENTES,530000,90,95,3,1,0,1,19,1
AGUASCALIENTES,1240000,105,129,3,2,0,2,19,1
AGUASCALIENTES,2500000,250,270,1,0,0,2,57,1
AGUASCALIENTES,1150000,126,150,3,2,0,2,55,1
AGUASCALIENTES,2180000,140,256,3,2,1,2,40,2
AGUASCALIENTES,390000,90,75,2,1,0,1,27,1
AGUASCALIENTES,3390000,300,346,3,2,0,2,0,1
AGUASCALIENTES,1300000,160,157,3,2,1,0,5,2
AGUASCALIENTES,2500000,200,240,3,3,0,2,19,1
AGUASCALIENTES,1500000,140,200,3,1,1,0,5,2
AGUASCALIENTES,3500000,250,450,5,4,1,2,2,2
AGUASCALIENTES,445133,90,53,2,1,0,1,40,1
AGUASCALIENTES,1250000,127,214,6,2,0,2,40,1
AGUASCALIENTES,970000,99,120,3,2,0,1,55,1
AGUASCALIENTES,3390000,300,346,3,2,1,2,6,2
AGUASCALIENTES,2750000,200,360,3,3,1,3,4,2
AGUASCALIENTES,1200000,150,120,3,2,0,1,0,1
AGUASCALIENTES,4500000,600,399,4,5,1,4,2,1
AGUASCALIENTES,1200000,160,180,3,2,0,0,4,2
AGUASCALIENTES,2300000,3000,180,2,1,0,0,19,1
AGUASCALIENTES,550000,90,120,3,1,0,0,55,1
AGUASCALIENTES,1170000,135,120,3,2,0,2,19,1
AGUASCALIENTES,1540000,110,169,3,2,0,2,19,1
AGUASCALIENTES,1300000,111,135,3,2,0,2,19,1
AGUASCALIENTES,740000,90,130,3,1,1,0,4,2
AGUASCALIENTES,500000,90,70,2,1,0,1,55,1
AGUASCALIENTES,660000,90,77,3,2,0,2,41,1
BAJA CALIFORNIA NORTE,460594,100,72,2,1,1,1,40,1
BAJA CALIFORNIA NORTE,932000,148,87,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,2007360,179,127,3,2,1,1,15,1
BAJA CALIFORNIA NORTE,1449664,262,162,3,3,0,0,47,1
BAJA CALIFORNIA NORTE,386235,121,57,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,1342000,155,167,3,3,0,0,57,1
BAJA CALIFORNIA NORTE,454000,180,70,2,1,0,0,41,1
BAJA CALIFORNIA NORTE,623225,150,90,3,1,1,2,37,1
BAJA CALIFORNIA NORTE,3580000,375,250,4,2,0,4,12,2
BAJA CALIFORNIA NORTE,398670,73,55,2,1,0,0,37,1
BAJA CALIFORNIA NORTE,450000,72,57,2,1,0,2,27,1
BAJA CALIFORNIA NORTE,745000,120,54,3,1,0,2,4,1
BAJA CALIFORNIA NORTE,680000,75,61,2,1,0,2,21,1
BAJA CALIFORNIA NORTE,828447,280,180,5,2,0,0,26,1
BAJA CALIFORNIA NORTE,2100000,220,300,6,3,0,2,18,1
BAJA CALIFORNIA NORTE,812000,192,83,2,1,1,1,7,1
BAJA CALIFORNIA NORTE,420000,73,60,2,1,0,1,12,2
BAJA CALIFORNIA NORTE,620000,90,65,2,1,0,1,46,1
BAJA CALIFORNIA NORTE,520000,80,80,4,2,1,2,13,1
BAJA CALIFORNIA NORTE,900000,294,74,2,1,0,0,19,1
BAJA CALIFORNIA NORTE,383000,120,68,2,1,1,0,18,1
BAJA CALIFORNIA NORTE,545000,100,77,2,1,0,1,18,1
BAJA CALIFORNIA NORTE,787000,138,92,2,2,0,0,18,1
BAJA CALIFORNIA NORTE,2441671,224,154,3,2,1,2,37,1
BAJA CALIFORNIA NORTE,500000,126,73,2,1,0,1,15,1
BAJA CALIFORNIA NORTE,450062,321,66,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,4580000,180,180,3,3,0,2,20,2
BAJA CALIFORNIA NORTE,550000,80,70,3,2,0,1,0,2
BAJA CALIFORNIA NORTE,1106000,148,90,3,2,0,1,46,1
BAJA CALIFORNIA NORTE,599490,80,57,2,1,0,1,15,1
BAJA CALIFORNIA NORTE,380780,70,56,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,1093000,132,103,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,751000,156,87,2,1,0,0,51,1
BAJA CALIFORNIA NORTE,853000,138,92,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,1900000,340,80,4,2,0,3,54,1
BAJA CALIFORNIA NORTE,696669,71,71,1,1,0,1,37,1
BAJA CALIFORNIA NORTE,409761,97,60,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,1485110,96,130,3,3,0,0,47,1
BAJA CALIFORNIA NORTE,994323,405,169,3,3,0,1,45,1
BAJA CALIFORNIA NORTE,767000,121,92,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,510000,138,91,3,1,1,1,23,1
BAJA CALIFORNIA NORTE,2675000,200,200,4,2,0,2,54,1
BAJA CALIFORNIA NORTE,530000,80,71,3,2,0,1,6,2
BAJA CALIFORNIA NORTE,385485,81,57,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,524697,150,89,3,3,0,1,39,1
BAJA CALIFORNIA NORTE,930000,101,129,1,0,0,0,57,1
BAJA CALIFORNIA NORTE,1980000,800,150,3,2,1,2,50,1
BAJA CALIFORNIA NORTE,610000,144,69,2,1,0,1,23,1
BAJA CALIFORNIA NORTE,600000,160,65,2,1,0,1,0,1
BAJA CALIFORNIA NORTE,6000000,507,311,4,3,0,2,9,1
BAJA CALIFORNIA NORTE,941371,219,160,3,3,0,1,35,1
BAJA CALIFORNIA NORTE,3038040,600,355,3,2,0,1,15,1
BAJA CALIFORNIA NORTE,416512,105,61,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,4980000,230,230,3,3,1,2,8,2
BAJA CALIFORNIA NORTE,422922,105,62,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,543757,118,80,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,1300000,90,90,2,2,0,1,36,2
BAJA CALIFORNIA NORTE,650000,103,70,2,1,0,1,54,1
BAJA CALIFORNIA NORTE,4340000,200,305,4,5,0,2,18,1
BAJA CALIFORNIA NORTE,720000,136,76,3,1,0,1,23,1
BAJA CALIFORNIA NORTE,560000,150,61,2,1,0,1,23,1
BAJA CALIFORNIA NORTE,409761,88,60,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,1568600,140,140,3,2,0,2,52,1
BAJA CALIFORNIA NORTE,3980000,242,334,4,3,0,4,12,3
BAJA CALIFORNIA NORTE,2200000,200,140,3,3,0,2,0,1
BAJA CALIFORNIA NORTE,500000,129,67,2,1,0,1,15,1
BAJA CALIFORNIA NORTE,900000,103,87,3,1,1,2,23,1
BAJA CALIFORNIA NORTE,713229,134,92,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,2255363,265,171,3,2,0,2,40,1
BAJA CALIFORNIA NORTE,702000,121,80,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,540000,80,70,3,2,0,1,8,2
BAJA CALIFORNIA NORTE,375665,79,55,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,543757,118,80,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,842000,148,87,3,1,1,2,23,1
BAJA CALIFORNIA NORTE,380780,58,56,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,570000,149,81,3,2,0,2,21,1
BAJA CALIFORNIA NORTE,460000,112,56,2,1,0,1,31,1
BAJA CALIFORNIA NORTE,1312000,109,130,3,1,1,2,23,1
BAJA CALIFORNIA NORTE,635734,119,79,2,2,0,0,11,1
BAJA CALIFORNIA NORTE,826000,161,85,2,2,0,0,11,1
BAJA CALIFORNIA NORTE,630882,100,81,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,619463,116,80,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,800000,143,87,3,1,1,2,23,1
BAJA CALIFORNIA NORTE,2400000,144,99,3,2,0,2,18,1
BAJA CALIFORNIA NORTE,1400000,90,220,5,3,0,0,54,1
BAJA CALIFORNIA NORTE,620000,77,79,3,1,1,1,23,1
BAJA CALIFORNIA NORTE,520520,80,70,3,2,0,0,28,1
BAJA CALIFORNIA NORTE,1587600,250,100,2,1,1,1,40,1
BAJA CALIFORNIA NORTE,620000,162,69,2,1,0,2,15,1
BAJA CALIFORNIA NORTE,5780000,1349,353,4,5,0,10,12,1
BAJA CALIFORNIA NORTE,422785,120,62,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,1100000,233,117,2,1,0,2,54,1
BAJA CALIFORNIA NORTE,550000,80,70,3,2,0,1,8,2
BAJA CALIFORNIA NORTE,2450000,224,289,3,2,0,2,7,2
BAJA CALIFORNIA NORTE,556000,107,63,2,1,0,0,51,1
BAJA CALIFORNIA NORTE,543757,121,80,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,650000,104,76,3,1,1,2,41,1
BAJA CALIFORNIA NORTE,650000,76,66,2,1,1,0,4,1
BAJA CALIFORNIA NORTE,530000,80,70,3,2,0,1,11,2
BAJA CALIFORNIA NORTE,829000,160,140,3,2,0,1,11,1
BAJA CALIFORNIA NORTE,546516,124,70,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,714549,133,92,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,1175000,169,105,3,1,0,0,54,1
BAJA CALIFORNIA NORTE,840000,148,87,3,1,1,2,23,1
BAJA CALIFORNIA NORTE,406847,162,60,2,1,1,0,37,1
BAJA CALIFORNIA NORTE,3160000,180,165,3,2,0,2,54,1
BAJA CALIFORNIA NORTE,20000000,577,650,5,4,0,5,12,3
BAJA CALIFORNIA NORTE,450000,70,70,2,1,0,1,10,1
BAJA CALIFORNIA NORTE,630000,135,92,3,2,0,1,19,2
BAJA CALIFORNIA NORTE,710000,90,65,2,1,0,1,46,1
BAJA CALIFORNIA NORTE,2622880,140,300,3,2,0,1,37,1
BAJA CALIFORNIA NORTE,831000,90,66,2,1,0,1,46,1
BAJA CALIFORNIA NORTE,761000,135,92,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,766000,118,80,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,490000,146,53,2,1,0,2,8,1
BAJA CALIFORNIA NORTE,713229,135,92,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,401720,80,56,2,2,0,0,26,1
BAJA CALIFORNIA NORTE,600000,162,69,2,1,0,2,15,1
BAJA CALIFORNIA NORTE,1029459,180,217,3,2,0,0,15,1
BAJA CALIFORNIA NORTE,2700000,476,356,3,3,0,1,40,1
BAJA CALIFORNIA NORTE,9980000,527,360,4,4,1,2,49,2
BAJA CALIFORNIA NORTE,7400000,225,343,3,2,0,4,0,1
BAJA CALIFORNIA NORTE,610000,169,55,2,1,0,1,23,1
BAJA CALIFORNIA NORTE,932000,148,87,2,1,1,0,18,1
BAJA CALIFORNIA NORTE,567114,139,57,2,2,0,0,33,1
BAJA CALIFORNIA NORTE,482998,126,71,3,3,0,1,39,1
BAJA CALIFORNIA NORTE,550000,79,70,3,2,0,2,31,1
BAJA CALIFORNIA NORTE,454583,84,105,3,2,0,0,15,1
BAJA CALIFORNIA NORTE,3500000,250,250,1,3,0,3,4,1
BAJA CALIFORNIA NORTE,2647000,280,280,2,1,0,0,51,1
BAJA CALIFORNIA NORTE,812000,192,83,2,1,0,1,15,1
BAJA CALIFORNIA NORTE,371000,100,52,2,1,0,0,18,1
BAJA CALIFORNIA NORTE,853000,138,92,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,445000,110,72,3,1,0,2,15,2
BAJA CALIFORNIA NORTE,1426000,146,164,3,2,0,1,5,1
BAJA CALIFORNIA NORTE,540000,85,79,3,2,0,1,6,2
BAJA CALIFORNIA NORTE,888000,103,75,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,600000,90,57,2,1,1,2,33,2
BAJA CALIFORNIA NORTE,3330000,600,600,2,1,0,0,51,1
BAJA CALIFORNIA NORTE,1727416,180,181,4,1,0,0,37,1
BAJA CALIFORNIA NORTE,1528265,265,171,3,3,0,0,47,1
BAJA CALIFORNIA NORTE,2530730,301,210,4,2,1,1,39,1
BAJA CALIFORNIA NORTE,375912,120,62,2,1,1,1,15,1
BAJA CALIFORNIA NORTE,572000,107,63,2,1,0,0,9,1
BAJA CALIFORNIA NORTE,3500000,290,170,3,2,1,3,5,1
BAJA CALIFORNIA NORTE,900000,232,133,3,2,0,2,13,1
BAJA CALIFORNIA NORTE,1050421,93,89,2,2,0,1,37,1
BAJA CALIFORNIA NORTE,722000,96,91,3,1,1,1,23,1
BAJA CALIFORNIA NORTE,2580000,450,250,3,3,0,3,14,1
BAJA CALIFORNIA NORTE,800000,108,80,3,1,0,2,18,1
BAJA CALIFORNIA NORTE,682077,133,88,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,4200000,256,250,4,3,1,2,35,2
BAJA CALIFORNIA NORTE,5000000,277,377,4,3,1,4,26,3
BAJA CALIFORNIA NORTE,386235,86,57,2,2,0,0,26,1
BAJA CALIFORNIA NORTE,810000,131,80,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,1742000,109,130,3,2,1,1,46,1
BAJA CALIFORNIA NORTE,526000,132,60,2,1,1,0,18,1
BAJA CALIFORNIA NORTE,413648,94,61,2,2,0,0,15,1
BAJA CALIFORNIA NORTE,2500000,432,250,2,4,0,0,0,1
BAJA CALIFORNIA NORTE,674000,189,137,3,2,0,0,22,1
BAJA CALIFORNIA NORTE,1400000,175,110,3,1,0,2,35,1
BAJA CALIFORNIA NORTE,569278,86,73,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,795000,88,61,2,2,1,2,13,1
BAJA CALIFORNIA NORTE,2000000,167,128,3,2,0,2,41,1
BAJA CALIFORNIA NORTE,390000,94,60,2,1,0,1,10,1
BAJA CALIFORNIA NORTE,2200000,170,170,5,3,0,2,37,1
BAJA CALIFORNIA NORTE,597000,90,60,2,1,0,1,46,1
BAJA CALIFORNIA NORTE,680000,300,200,3,1,0,5,55,1
BAJA CALIFORNIA NORTE,4899470,280,392,3,1,1,1,15,1
BAJA CALIFORNIA NORTE,1690000,129,129,3,3,1,2,11,1
BAJA CALIFORNIA NORTE,619463,121,80,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,8400000,400,1000,3,3,3,6,14,1
BAJA CALIFORNIA NORTE,1790000,450,190,4,2,0,3,13,1
BAJA CALIFORNIA NORTE,1900000,450,300,3,4,0,4,54,1
BAJA CALIFORNIA NORTE,408000,123,64,2,1,0,0,18,1
BAJA CALIFORNIA NORTE,543757,117,80,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,690000,131,80,3,2,0,0,18,1
BAJA CALIFORNIA NORTE,479725,124,70,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,5000000,280,310,5,3,0,2,22,1
BAJA CALIFORNIA NORTE,1240740,146,164,3,2,0,1,37,1
BAJA CALIFORNIA NORTE,780000,105,80,3,1,1,2,16,1
BAJA CALIFORNIA NORTE,1449664,268,162,3,3,0,0,47,1
BAJA CALIFORNIA NORTE,489850,180,70,2,1,0,0,16,1
BAJA CALIFORNIA NORTE,730000,174,69,2,1,0,1,52,1
BAJA CALIFORNIA NORTE,420000,72,60,2,1,0,1,0,2
BAJA CALIFORNIA NORTE,1000000,145,145,3,1,1,2,14,2
BAJA CALIFORNIA NORTE,541662,150,87,3,2,0,0,11,1
BAJA CALIFORNIA NORTE,530000,70,80,3,2,0,1,11,2
BAJA CALIFORNIA NORTE,715637,135,92,3,3,0,1,15,1
BAJA CALIFORNIA NORTE,897000,90,70,2,1,0,1,22,1
BAJA CALIFORNIA NORTE,829000,85,69,2,1,0,1,46,1
BAJA CALIFORNIA NORTE,7000000,559,477,4,4,0,2,9,1
BAJA CALIFORNIA NORTE,1528265,274,171,3,3,0,0,47,1
BAJA CALIFORNIA SUR,865000,125,90,2,1,1,1,31,1
BAJA CALIFORNIA SUR,11980000,2731,290,2,3,0,0,10,1
BAJA CALIFORNIA SUR,15700000,1071,481,5,4,2,0,10,1
BAJA CALIFORNIA SUR,11160000,241,100,2,2,1,0,4,1
BAJA CALIFORNIA SUR,900000,140,140,2,1,1,0,10,1
BAJA CALIFORNIA SUR,1245000,148,135,2,1,0,0,11,1
BAJA CALIFORNIA SUR,565599,91,56,2,2,0,0,15,1
BAJA CALIFORNIA SUR,2340000,262,262,2,2,0,0,5,1
BAJA CALIFORNIA SUR,3370000,1171,275,3,2,1,0,4,1
BAJA CALIFORNIA SUR,890000,154,154,4,2,0,0,5,1
BAJA CALIFORNIA SUR,999000,140,120,2,1,1,1,5,1
BAJA CALIFORNIA SUR,21700000,1115,322,3,3,1,2,5,1
BAJA CALIFORNIA SUR,1250000,160,170,3,2,0,1,10,2
BAJA CALIFORNIA SUR,5980000,2500,345,3,4,0,0,43,2
BAJA CALIFORNIA SUR,2636000,311,311,3,2,0,0,6,2
BAJA CALIFORNIA SUR,4440000,475,475,2,2,1,0,10,1
BAJA CALIFORNIA SUR,783000,125,90,2,1,1,1,7,1
BAJA CALIFORNIA SUR,1021411,93,101,3,3,0,1,15,1
BAJA CALIFORNIA SUR,30000000,2368,318,5,2,0,0,10,1
BAJA CALIFORNIA SUR,1145000,140,115,2,1,1,1,12,1
BAJA CALIFORNIA SUR,1960000,902,68,1,1,0,0,4,1
BAJA CALIFORNIA SUR,3400000,250,222,3,2,2,0,35,1
BAJA CALIFORNIA SUR,9000000,253,195,3,4,1,0,6,1
BAJA CALIFORNIA SUR,15437000,400,311,3,2,0,0,6,2
BAJA CALIFORNIA SUR,1379000,160,118,2,1,1,1,37,1
BAJA CALIFORNIA SUR,5900000,401,486,3,6,0,0,10,1
